연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
2022-00475,신청기업,주식회사 투게더스,1378139709,이근수,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"인천 부평구 부평대로 301901호 (청천동, 남광센트렉스)",40,2291666.667,인천광역시,3.5,52.2,17.9,39,1.3,4.5,3,1,0,,1,0,3.5
2022-11671,메인비즈기업,주식회사 토너월드,1218196990,차성호,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",컴퓨터 및 통신장비 수리업,인천 미추홀구 미추홀대로669번길 81(도화동),11,NA,인천광역시,NA,64.3,13.2,97,2.1,NA,NA,0,0,,1,0,NA
2022-00130,신청기업,주식회사 큐아이티,1358621800,배정환,C.제조업(10~34),"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기도 수원시 영통구 대학4로 17402호 (에이스광교타워1 (이의동)),12,2750000,경기도,NA,23.1,13.7,149.8,1.5,NA,NA,1,0,,1,0,NA
2022-00003,신청기업,주식회사 코스플로우,6308700855,구봉길,G.도매 및 소매업(45~47),상품 중개업,인천광역시 계양구 서운산단로2길 72(서운동) B동 4층,20,2987500,인천광역시,NA,-68,12.4,23.5,1.9,NA,NA,0,0,,0,0,NA
2022-00775,대한민국 일자리 으뜸기업,주식회사 코드스테이츠,7038800878,김인기,P.교육 서비스업(85),기타 교육기관,서울특별시 서초구 서초대로 39620층,200,2845833.333,서울특별시,4.2,NA,36.2,89,2.4,3.8,4,1,0,,0,0,4.2
2022-05111,이노비즈기업,주식회사 케이제이아이,1378131987,이용승,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",인천 서구 백범로910번길 68(가좌동),27,2900000,인천광역시,3.5,-4.9,7.1,228.4,0.5,4.5,3,0,0,,1,0,3.5
2022-00190,신청기업,주식회사 케이씨피드,5058100799,"정한식, 김희철",C.제조업(10~34),"곡물가공품, 전분 및 전분제품 제조업",경북 영천시 금호읍 금호로 320((주)케이씨피드),94,2603666.667,경상북도,2.6,83.1,2.6,64.2,0.8,3.1,2.3,0,0,,0,0,2.6
2022-12608,메인비즈기업,주식회사 축산랜드,5068184190,김성길,I.숙박 및 음식점업(55~56),음식점업,경상북도 포항시 북구 장량로262번길 23(양덕동),9,2525000,경상북도,NA,268.9,1.7,113.5,0.4,NA,NA,0,0,,0,0,NA
2022-14346,사회적기업,주식회사 천사,2278116902,"고동길, 이숙만",Q.보건업 및 사회복지 서비스업(86~87),거주 복지시설 운영업,강원 속초시 중앙로 25(교동),20,2500000,강원도,NA,NA,-5.4,301,1.2,NA,NA,0,0,,0,0,NA
2022-00069,신청기업,주식회사 주원씨앤아이,1288654297,손정진,G.도매 및 소매업(45~47),기계장비 및 관련 물품 도매업,경기 김포시 양촌읍 김포한강4로 391,38,3229166.667,경기도,2,73.3,8.2,259.1,3.6,4,3,0,0,,0,0,2
2022-03727,이노비즈기업,주식회사 이비가푸드,3148623662,김영철,I.숙박 및 음식점업(55~56),음식점업,대전 서구 계룡로 199(월평동),51,2980833.333,대전광역시,3.5,-91.4,0.3,89,2.1,3.2,2.8,0,0,,0,0,3.5
2022-01880,이노비즈기업,주식회사 웹센,1268634242,심달호,F.건설업(41~42),건설업본사(소분류),"경기 안산시 단원구 광덕동로 101, 6층 601호(고잔동, 두일빌딩)",21,3477500,경기도,NA,NA,6.5,38,2.3,NA,NA,1,0,,0,0,NA
2022-00336,신청기업,주식회사 원준이앤씨,1028600635,정은희,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사업시설 유지,관리 서비스업",경기도 김포시 고촌읍 고송로 204층,26,2083333.333,경기도,NA,-79.1,3.8,38.6,2.2,NA,NA,0,0,,0,0,NA
2022-12941,메인비즈기업,주식회사 와이제이그룹,5148185962,최영진,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,대구 달서구 조암남로 42(월성동)트럼프스타 4층 405호,74,2500000,대구광역시,2,-65.5,3.5,67.4,2.9,2.9,2.7,0,0,,1,0,2
2022-14284,사회적기업,주식회사 온케어구리,1328199250,방선영,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,경기도 구리시 건원대로 36(8층),100,2500000,경기도,NA,-50.5,6.5,146.5,1.5,NA,NA,0,0,,1,0,NA
2022-00127,신청기업,주식회사 엠토스솔루션스,1198617662,김관종,G.도매 및 소매업(45~47),상품 종합 도매업,"서울특별시 금천구 가산디지털1로 219811,1112호 (가산동 벽산디지털밸리6차)",59,2256666.667,서울특별시,2.6,76,6.9,289.9,1.6,2.9,2.9,0,0,,0,0,2.6
2022-00144,신청기업,주식회사 엠에스테크,2088800539,백종호,C.제조업(10~34),자동차 신품 부품 제조업,충청남도 천안시 서북구 성환읍 지족향길 63(성환읍),31,1983000,충청남도,2,-5.6,4.9,225.6,225.6,2,2.5,1,1,,1,0,2
2022-00798,대한민국 일자리 으뜸기업,주식회사 엘에이치사옥관리,6018701142,김태환,L.부동산업(68),부동산 관련 서비스업,경상남도 진주시 에나로 1421동 4층,1024,2584166.667,경상남도,2.5,NA,-12.4,432.8,6.1,3.2,1.8,0,0,,1,0,2.5
2022-00005,신청기업,주식회사 에이치케이,1398123824,이향천,C.제조업(10~34),가구 제조업,경기도 하남시 하남대로 9476층 606호 (하남테크노밸리U1센터 D동),150,3735833.333,경기도,2.3,-28.2,5.2,188.1,1.2,3.3,2.5,1,0,,1,0,2.3
2022-07011,이노비즈기업,한양밸브공업(주),6038155109,박창호,C.제조업(10~34),일반 목적용 기계 제조업,부산 강서구 미음산단2로16번길 19(구랑동),41,3229166.667,부산광역시,NA,625.5,20.4,102.7,1.3,NA,NA,0,0,,1,0,NA
2022-00678,신청기업,주식회사 알이,1328605738,유재황,L.부동산업(68),부동산 관련 서비스업,경기 양평군 양평읍 대흥로 563층,12,2500000,경기도,3.8,43.8,2,812.1,0.6,3.8,4,1,1,,0,0,3.8
2022-01861,이노비즈기업,주식회사 알엠,1258165499,임범진,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",경기 오산시 동부대로 291-12(갈곶동),100,3210000,경기도,2.1,252.2,1.9,1.9,0.6,2.4,2,1,0,,1,0,2.1
2022-00030,신청기업,주식회사 아인스미디어,1098620253,김중완,"M.전문, 과학 및 기술 서비스업(70~73)",광고업,"서울특별시 금천구 가산디지털1로 168(가산동, 우림라이온스밸리) B동 907호",120,2536666.667,서울특별시,3.5,36.2,33.8,33.8,1,3,2.9,0,0,,0,0,3.5
2022-10517,메인비즈기업,주식회사 아이풀,1248726063,백성욱,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,"경기 수원시 권선구 동수원로 218-39(권선동, 권선종합프라자)",122,2553333.333,경기도,4,NA,-4.5,-4.5,0.4,3.3,2.7,0,0,,0,0,4
2022-14460,사회적기업,주식회사 심양재가복지센터,7168100569,변혜신,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"서울특별시 중랑구 신내로 115(신내동, 신내10단지신내아파트) 상가동 103호",20,2500000,서울특별시,NA,-6.4,14.4,47.6,2.9,NA,NA,0,0,,0,0,NA
2022-07010,이노비즈기업,한성금속,6060319180,박남권,C.제조업(10~34),일반 목적용 기계 제조업,부산광역시 강서구 미음산단로92번길 20(구랑동),25,3405000,부산광역시,NA,NA,6.4,217,0.9,NA,NA,1,0,,0,0,NA
2022-01855,이노비즈기업,주식회사 송암씨앤씨,4358700338,이종성,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,"경기도 파주시 오도로 42(오도동, 1동)",22,2746666.667,경기도,NA,-74.2,0.5,465.2,0.6,NA,NA,1,1,,1,0,NA
2022-00118,신청기업,주식회사 성호씨그마,1348674319,장환호,G.도매 및 소매업(45~47),기계장비 및 관련 물품 도매업,경기도 수원시 장안구 정자천로13번길 146(천천동) 1층 102호,20,2750000,경기도,NA,-40.3,8.3,28,6.7,NA,NA,0,0,,1,0,NA
2022-00562,신청기업,주식회사 비엠코퍼레이션,6588800923,박주형,P.교육 서비스업(85),기타 교육기관,"서울 영등포구 국회대로 6122층 10호 (당산동3가, 코레일유통 사옥)",100,2489166.667,서울특별시,NA,764.4,43.8,91.1,4,NA,NA,1,0,,1,0,NA
2022-11122,메인비즈기업,주식회사 브랜뉴뮤직,1148701177,김세환,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,"서울특별시 강남구 언주로75길 10(역삼동, 브랜뉴빌딩)",38,2375000,서울특별시,2.1,NA,-16.9,584.1,584.1,2,2,1,0,,1,0,2.1
2022-00458,신청기업,주식회사 밸류링크유,1558600662,남영수,H.운수 및 창고업(49~52),기타 운송관련 서비스업,서울특별시 마포구 마포대로 19(마포동) 1005호,59,2500000,서울특별시,3,NA,-51.1,103.8,1.7,4.3,3.3,1,0,,1,0,3
2022-07008,이노비즈기업,한국후지기계(주),1248142339,양동광,C.제조업(10~34),특수 목적용 기계 제조업,경기 화성시 양감면 은행나무로 515,25,2500000,경기도,1,0.2,3.5,68.4,0.5,3,1,1,1,,0,0,1
2022-00153,신청기업,주식회사 머큐리,1378131255,황하영,C.제조업(10~34),통신 및 방송 장비 제조업,인천 서구 가재울로 90(가좌동),186,2990000,인천광역시,2.8,-31.1,4.1,72.7,0.9,2.8,2.1,0,0,,0,0,2.8
2022-07358,이노비즈기업,주식회사 맥스텍,3128154179,양명헌,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,"충남 천안시 서북구 2공단2로95, 천안차암아파트형공장 402호 508호 (차암동)",23,3005000,충청남도,NA,33.8,5,102.7,0.9,NA,NA,0,0,,1,0,NA
2022-02473,이노비즈기업,주식회사 마이원,2018629486,이영진,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"서울 중구 퇴계로30길 24208-1호 (예장동, 삼익아파트 지하상가)",37,3064166.667,서울특별시,2.5,-10.5,8.6,172.3,1.8,1.7,3.2,0,0,,1,0,2.5
2022-00074,신청기업,주식회사 마담,7068800561,김연호,"M.전문, 과학 및 기술 서비스업(70~73)","그 외 기타 전문, 과학 및 기술 서비스업",서울특별시 성동구 성수이로 119(성수동2가) 덕산빌딩 5층,16,2333333.333,서울특별시,3.3,71.9,48.4,15.2,8.5,4.7,3.7,0,0,,0,0,3.3
2022-14391,사회적기업,주식회사 룰루랄라,1288670507,이명아,P.교육 서비스업(85),교육지원 서비스업,"경기 고양시 일산동구 고봉로 32-196층 602호 (장항동, 남정씨티프라자7차)",8,2500000,경기도,3,14.4,20.9,15.1,1.5,4,3,0,0,,1,0,3
2022-13178,메인비즈기업,주식회사 렛츠,3188100818,김성은,P.교육 서비스업(85),교육지원 서비스업,대전광역시 유성구 동서대로179번길 63(덕명동) 2층,7,NA,대전광역시,2.5,-82.5,1.6,1.6,1.7,1.5,4,1,1,,1,0,2.5
2022-07005,이노비즈기업,하이멜,1262249234,문정환,C.제조업(10~34),플라스틱제품 제조업,경기도 광주시 초월읍 산수로 627-22(초월읍),NA,NA,경기도,1,-0.7,46.8,123,1.8,4,1,0,0,,1,0,1
2022-14547,가족친화인증기업,주식회사 동화세상에듀코,2018127348,김영철,P.교육 서비스업(85),기타 교육기관,서울 동대문구 왕산로 25(신설동),124,2803333.333,서울특별시,3.2,-41.1,5.6,77.1,77.1,3,3.3,1,1,,1,0,3.2
2022-11319,메인비즈기업,주식회사 동신,5128111130,유정우,B.광업(05~08),토사석 광업,"경북 영주시 안정면 용주로 653-16(성곡리509번지,안정면여륵리산32-2외1필지)",26,1645000,경상북도,NA,NA,-5.4,67.6,67.6,NA,NA,0,0,,1,0,NA
2022-14310,사회적기업,주식회사 돌봄사회서비스센터,5088131568,박명배,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,경상북도 안동시 안기1길 48(안기동),62,2500000,경상북도,NA,539.1,4.7,248.9,1.7,NA,NA,0,0,,0,0,NA
2022-00196,신청기업,주식회사 더유제약,1138669177,김민구,"M.전문, 과학 및 기술 서비스업(70~73)",회사 본부 및 경영 컨설팅 서비스업,서울특별시 영등포구 당산로 17115층 1501호 (금강펜테리움IT타워),193,3250000,서울특별시,2.7,-57.9,9,55.1,1.5,3.5,3.8,0,0,,1,0,2.7
2022-00143,신청기업,주식회사 대평,4168177514,정금랑,H.운수 및 창고업(49~52),기타 운송관련 서비스업,전라남도 광양시 항만7로 54(도이동),31,2603250,전라남도,1.5,-26.3,5.2,160.9,0.8,3,1.5,0,0,,1,0,1.5
2022-12338,메인비즈기업,주식회사 대신종합관리시스템,4098629533,이현,L.부동산업(68),부동산 관련 서비스업,"전남 화순군 화순읍 충의로 91(화순읍, 만연빌딩) 2층",22,2500000,전라남도,3,38.6,12.3,28.7,3.2,3,3,1,1,,1,0,3
2022-14376,사회적기업,주식회사 당진돌봄사회서비스센터,3118145890,송영팔,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,충청남도 당진시 먹거리길 83,42,NA,충청남도,NA,-85.6,1.5,972.6,972.6,NA,NA,1,1,,0,0,NA
2022-00596,신청기업,주식회사 나아바코리아,4288600949,"김경규, 이남규","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",개인 및 가정용품 임대업,경기 군포시 공단로 1485층 (당정동),14,2500000,경기도,5,NA,-0.5,866.3,1.1,5,5,0,0,,0,0,5
2022-11087,메인비즈기업,주식회사 나눔환경,3178106857,이승호,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",충북 청주시 서원구 가장로353번길 161(장암동),6,NA,충청북도,3,331.8,17,17,1.7,3,3,1,1,,1,0,3
2022-00045,신청기업,주식회사 나눔세상,7688600473,"송민기, 이난희",G.도매 및 소매업(45~47),생활용품 도매업,광주광역시 북구 첨단중앙로182번길 147(대촌동),26,2500000,광주광역시,NA,-57.9,1.6,517.6,0.9,NA,NA,0,0,,1,0,NA
2022-10058,메인비즈기업,주식회사 금산,3108103655,윤석권,B.광업(05~08),토사석 광업,충남 서산시 성연면 일호리2길 113,43,NA,충청남도,NA,-20.7,3.5,167.6,0.9,NA,NA,1,0,,1,0,NA
2022-00132,신청기업,주식회사 고산테크,5208800180,이성희,C.제조업(10~34),특수 목적용 기계 제조업,충남 천안시 서북구 백석공단5길 15(백석동),20,2843333.333,충청남도,NA,NA,6.4,33.5,0.9,NA,NA,1,0,,0,0,NA
2022-13998,향토기업,㈜성철사,6188100023,윤장한,K.금융 및 보험업(64~66),기타 금융업,부산 해운대구 반여1동1401,23,3408333.333,부산광역시,2.1,959.8,959.8,8.3,0.1,1.9,2.4,0,0,,0,0,2.1
2022-07003,이노비즈기업,파워제넥스(주),1188116253,고상영,C.제조업(10~34),기타 전기장비 제조업,인천 남동구 은봉로 9944블럭9롯트 (논현동),39,2220000,인천광역시,2.6,33.3,19.6,24.4,0.9,3.9,2.1,1,0,,1,0,2.6
2022-14276,사회적기업,㈜사람인충주돌봄,3038159942,백수진,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"충북 충주시 번영대로 1114층 (연수동, 누가빌딩)",NA,NA,충청북도,NA,NA,-3.6,367.9,3.3,NA,NA,1,0,,0,0,NA
2022-06999,이노비즈기업,태영전자(주),4098128000,김상설,C.제조업(10~34),자동차 신품 부품 제조업,전남 장성군 동화면 농공단지길 60(공장),39,3040000,전라남도,2,-39.5,3.2,158.1,1.8,2.3,2.8,0,0,,0,0,2
2022-06993,이노비즈기업,코스모아이앤디(주),3018154280,신영석,C.제조업(10~34),플라스틱제품 제조업,세종 전의면 음담말길 12,97,3605833.333,세종특별자치시,2.5,4.1,4.4,173.8,1,3.2,2,0,0,,0,0,2.5
2022-15066,가족친화인증기업,주식회사 중부그린,7878600659,"김재국,김지숙","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",세종특별자치시 금남면 국곡길 15(금남면),10,NA,세종특별자치시,NA,-86.9,3.5,69.9,2.1,NA,NA,1,1,,1,0,NA
2022-02461,이노비즈기업,주)그린환경,4048114909,강수형,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,전북 정읍시 덕천면 천월길 167,9,2585000,전라북도,2.8,171.6,171.6,171.6,0.7,2.6,2.3,0,0,,1,0,2.8
2022-00223,신청기업,㈜ 프 라 임,1318177480,백 매 순,C.제조업(10~34),일반 목적용 기계 제조업,"인천광역시 남동구 앵고개로 627((고잔동, 111블럭14롯트))",70,2594166.667,인천광역시,1.9,13.7,1.9,272.6,0.7,2.8,1.8,0,0,,1,0,1.9
2022-04084,이노비즈기업,제너텍(주),6218146103,"노규동,노영현",F.건설업(41~42),건설업본사(소분류),"부산광역시 금정구 체육공원로399번길 325-8(노포동, 제너텍빌딩)",48,2529166.667,부산광역시,2.5,-28.3,12.8,24.6,2.7,2,3,0,0,,1,0,2.5
2022-06038,이노비즈기업,정화통신(주),2268102180,우동명,F.건설업(41~42),건설업본사(소분류),강원 강릉시 성덕포남로182번길 38(포남동),35,3719166.667,강원도,NA,29.5,7.2,16.8,0.7,NA,NA,1,0,,0,0,NA
2022-00212,신청기업,정우전기(주),1368127928,김신호,C.제조업(10~34),"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기 김포시 양촌읍 황금1로90,32,2333333.333,경기도,2.1,693.8,9.6,151.3,151.3,1.9,2.3,0,0,,0,0,2.1
2022-14736,가족친화인증기업,정선군시설관리공단,2258261179,홍규학,"R.예술, 스포츠 및 여가관련 서비스업(90~91)","도서관, 사적지 및 유사 여가관련 서비스업",강원 정선군 화암면 화암동굴길 12-1정선군시설관리공단,125,3670000,강원도,1,NA,NA,5.3,83.8,3,1,1,0,,1,0,1
2022-00251,신청기업,정강통신,4108126074,박상선,F.건설업(41~42),건설업본사(소분류),광주 광산구 운남동517-27번지,32,3097500,광주광역시,NA,226.9,8.5,22.7,2,NA,NA,1,0,,1,0,NA
2022-14899,가족친화인증기업,재단법인 전라남도문화재단,4118210951,정명섭,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,전라남도 무안군 삼향읍 후광대로 24213층,52,2166666.667,전라남도,NA,800.7,19.2,20.5,1,NA,NA,1,0,,0,0,NA
2022-14858,가족친화인증기업,(주)티에스케이프리텍,3018177357,김희두,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",충북 진천군 초평면 도장길 34-29,68,3547500,충청북도,2,NA,-2.4,111.5,0.9,2,3,1,1,,0,0,2
2022-14730,가족친화인증기업,재단법인 부천문화재단,1308212593,손경연,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,경기 부천시 장말로 107(상동),119,2005833.333,경기도,3.1,NA,-54.6,47.4,4.2,3.2,2.3,0,0,,0,0,3.1
2022-16449,안전보건경영시스템 인증,경일종합개발(주),2178102551,진용남,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",서울 도봉구 노해로 233(쌍문동),29,NA,서울특별시,NA,34.9,16.5,67,2,NA,NA,0,0,,0,0,NA
2022-08590,이노비즈기업,자연환경(주),4158117769,김대수,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",전남 강진군 성전면 별뫼로 188-24,10,3609166.667,전라남도,3,-1.3,12.2,18,1.4,3,3,1,0,,0,0,3
2022-10921,메인비즈기업,(주)태일씨앤티,2138187994,김경수,F.건설업(41~42),건설업본사(소분류),"서울 관악구 남부순환로 17952층 (봉천동, 한우빌딩)",69,3802500,서울특별시,4,100.6,9.6,195.5,5,3,3,1,1,,1,0,4
2022-04076,이노비즈기업,인선모터스주식회사,1288664645,"박정호, 김대봉(각자대표)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",경기도 고양시 일산동구 동국로 286(식사동),112,2519166.667,경기도,2,80.2,3.1,132.8,1.3,3.3,3,1,0,,0,0,2
2022-02906,이노비즈기업,이트너스(주),2018166865,임각균,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,경기 성남시 분당구 대왕판교로 670유스페이스 2-B동 704호,606,3032500,경기도,2.5,-19.2,6.2,162.1,2.2,3,2.6,0,0,,1,0,2.5
2022-11801,메인비즈기업,이채이앤씨,1410286375,김기원,L.부동산업(68),부동산 관련 서비스업,경기 고양시 일산동구 강송로113번길 54-2(백석동),26,NA,경기도,NA,-37.7,38.3,NA,4,NA,NA,1,0,,0,0,NA
2022-13951,고용우수기업,이샘병원,6059166601,이성근,Q.보건업 및 사회복지 서비스업(86~87),병원,"부산 부산진구 황령대로 12(범천동, KE빌딩 5층)",150,2194166.667,부산광역시,1.8,NA,2.8,728.3,1.9,2.2,2.2,1,0,,1,0,1.8
2022-03692,이노비즈기업,이넵스주식회사,1298650386,이동일,F.건설업(41~42),건설업본사(소분류),"경기 용인시 기흥구 흥덕중앙로 12026층 2605호 (영덕동, UTOWER)",56,2708333.333,경기도,3.1,NA,12,292.2,2.7,3.1,4,1,1,,1,0,3.1
2022-06543,이노비즈기업,이경이앤씨(주),1378116953,이기영,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업",인천 서구 중봉대로286번길 29(석남동),30,3996666.667,인천광역시,1,-10.8,-10.8,198.1,1.1,2,2,1,0,,0,0,1
2022-14413,사회적기업,의귀마을영농조합법인,6168622254,오문식,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,제주특별자치도 서귀포시 남원읍 서성로955-117,NA,NA,제주도,NA,NA,-19,77.2,1.2,NA,NA,0,0,,1,0,NA
2022-10870,메인비즈기업,디에이치아이(주),1238141716,전준배,F.건설업(41~42),건설업본사(소분류),경기 군포시 공단로 93-17(당동)4층,3,2825000,경기도,2,-25.2,11.4,91.2,3.3,1.5,2.8,0,0,,0,0,2
2022-14447,사회적기업,유한회사 좋은이웃,3178147431,김은진,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"전북 군산시 공단대로 454.2층 202호 (나운동, 삼영빌딩)",20,2500000,전라북도,NA,375.7,62.4,49,4.4,NA,NA,0,0,,0,0,NA
2022-00036,신청기업,유한회사 싸카,2018178599,오정석,G.도매 및 소매업(45~47),생활용품 도매업,서울 중구 을지로 252-1(을지로6가),54,1770833.333,서울특별시,3.6,NA,-12.9,100.5,1.2,3.1,2.6,1,0,,0,0,3.6
2022-00103,신청기업,유닉스노무법인,3988100380,이기태,"M.전문, 과학 및 기술 서비스업(70~73)",법무관련 서비스업,부산광역시 연제구 연수로 86(연산동),20,2500000,부산광역시,5,NA,16.6,1661,4.5,5,5,1,0,,0,0,5
2022-10652,메인비즈기업,(주)에스디메디컬,1058794648,장상도,G.도매 및 소매업(45~47),기타 상품 전문 소매업,"경기도 고양시 일산동구 정발산로 11(장항동, 일호골든타워) 4층 402호",11,2555000,경기도,NA,24.8,16.1,140,3.7,NA,NA,1,1,,0,0,NA
2022-09183,이노비즈기업,우진환경개발(주),3018122658,이강우,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,충북 청주시 청원구 북이면 의암로 298,55,3635000,충청북도,3.5,NA,-8,304.6,0.7,3.5,3.5,0,0,,0,0,3.5
